abate	to reduce, lessen
cumulative	increasing, building upon itself
curiosity	a strong desire to know or learn
daunting	intimidating, causing one to lose courage
debate	a formal discussion of opposing ideas
debunk	to expose as false
declare	to state clearly and officially
decry	to criticize openly
defile	to make unclean, impure
define	to explain the meaning of something precisely
defunct	no longer used or existing
deleterious	harmful
delineate	to describe, outline, shed light on
demarcation	a dividing line or boundary
demean	to lower the status or stature of something
demonstrate	to show clearly by evidence or example
demure	quiet, modest, reserved
denigrate	to unfairly criticize
derive	to get something from a source
despondent	feeling depressed, discouraged, hopeless
despot	one who has total power and rules brutally
deter	to discourage, prevent from doing
devise	to invent or plan carefully
dialect	a variation of a language
didactic	intended to instruct
diffuse	to scatter, thin out, break up
dignity	calm self-respect and honor
disaffected	rebellious, resentful of authority
disavow	to deny responsibility for
discordant	not agreeing, not in harmony with
discrepancy	difference, failure of things to correspond
disdain	to scorn, hold in low esteem
disheartened	feeling a loss of spirit or morale
disparage	to speak of as less valuable
disperse	to scatter, cause to scatter
dissent	to disagree
distinguish	to notice or show the difference between things
diverse	including many different types
divisive	causing dissent, discord
dormant	sleeping, temporarily inactive
dour	stern, joyless
dubious	doubtful, of uncertain quality
eclectic	consisting of a diverse variety of elements
ecstatic	intensely and overpoweringly happy
effervescent	bubbly, lively
efficacious	effective
elaborate	to explain in greater detail
elegy	a speech given in honor of a dead person
eligible	meeting the needed conditions
eloquent	expressive, articulate, moving
elucidate	to clarify, explain
elude	to evade, escape
emaciated	very thin, enfeebled looking
embellish	to decorate, adorn
emerge	to come into view or become known
eminent	distinguished, prominent, famous
emote	to express emotion
emphasize	to give special importance to
emulate	to imitate
enable	to make possible
encore	an extra performance requested by an audience
encounter	to meet unexpectedly or experience
endure	to suffer through or last through hardship
engender	to bring about, create, generate
enhance	to improve the quality or value of
ennui	boredom, weariness
ensure	to make certain
entail	to include as a necessary step
epitome	a perfect example, embodiment
erudite	learned
eschew	to shun, avoid
esoteric	understood by only a select few
espouse	to take up as a cause, support
establish	to set up or prove firmly
estimate	to form an approximate judgment about
ethereal	heavenly, exceptionally delicate or refined
ethical	involving principles of right and wrong
evaluate	to judge the quality or value of
evolve	to develop gradually over time
exalt	to glorify, praise
excavate	to dig out of the ground and remove
excursion	a trip or outing
exonerate	to free from guilt or blame, exculpate
explicit	stated clearly and directly
extant	existing, not destroyed or lost
extraneous	not essential; coming from outside
extricate	to disentangle
facile	easy, requiring little effort
fallacious	incorrect, misleading
fastidious	meticulous, demanding, having high and often unattainable standards
fathom	to understand, comprehend
fatuous	silly, foolish
feasible	possible to do successfully
fecund	fruitful, fertile
felicitous	well suited, apt
feral	wild, savage
fervent	ardent, passionate
fetid	having a foul odor
fetter	to chain, restrain
fickle	shifting in character, inconstant
fidelity	loyalty, devotion
figurative	symbolic
flabbergasted	extremely surprised
flaccid	limp, not firm or strong
flagrant	offensive, egregious
flexible	able to bend or adjust easily
florid	flowery, ornate
flout	to disregard or disobey openly
fluctuate	to rise and fall irregularly
forage	to graze, rummage for food
forbearance	patience, restraint, toleration
forestall	to prevent, thwart, delay
formulate	to create carefully and systematically
forsake	to give up, renounce
fortitude	strength, guts
fortuitous	happening by chance, often lucky or fortunate
fractious	troublesome or irritable
frenetic	frenzied, hectic, frantic
frequent	happening often
frivolous	of little importance, trifling
frugal	thrifty, economical
function	to work or operate properly
fundamental	forming the basic foundation
furtive	secretive, sly
garish	gaudy, in bad taste
garrulous	talkative, wordy
generate	to produce or create
genial	friendly, affable
genuine	truly what something is claimed to be
gluttony	overindulgence in food or drink
goad	to urge, spur, incite to action
gourmand	a person who enjoys eating richly and often too much
graduate	to complete a course of study and receive a diploma or degree
grandiose	on a magnificent or exaggerated scale
gratuitous	uncalled for, unwarranted
gregarious	drawn to the company of others, sociable
grievous	injurious, hurtful; serious or grave in nature
guarantee	to promise that something will happen or be true
guile	deceitful, cunning, sly behavior
habit	a behavior repeated regularly
habitat	the natural environment of a living thing
hackneyed	overused and unoriginal
hallowed	revered, consecrated
hapless	unlucky
harangue	a ranting speech
harrowing	greatly distressing, vexing
haughty	disdainfully proud
hazardous	dangerous
hedonist	one who believes pleasure should be the primary pursuit of humans
hegemony	domination over others
heinous	shockingly wicked, repugnant
hesitate	to pause because of uncertainty
heterogeneous	varied, diverse in character
hiatus	a break or gap in duration or continuity
humane	showing kindness and compassion
hypothesis	a possible explanation that can be tested
identify	to recognize and name
illicit	forbidden, not permitted
illustrate	to explain or make clear with examples or pictures
immerse	to involve deeply or put completely into something
impeccable	exemplary, flawless
imperious	commanding, domineering
impertinent	rude, insolent
impetuous	rash; hastily done
implacable	incapable of being appeased or mitigated
implicit	understood but not outwardly obvious, implied
imply	to suggest without saying directly
impose	to force something to be accepted
impregnable	resistant to capture or penetration
impressive	causing admiration
inane	silly and meaningless
incentive	something that encourages action
incisive	clear, sharp, direct
inclination	a tendency, propensity
indicate	to point out or show
indigent	very poor, impoverished
indomitable	not capable of being conquered
induce	to bring about, stimulate
inevitable	certain to happen
inexorable	incapable of being persuaded or placated
infer	to reach a conclusion based on evidence
infusion	an injection of one substance into another; the permeation of one
ingenious	clever, resourceful
inherit	to receive from a previous generation
inhibit	to prevent, restrain, stop
iniquity	wickedness or sin
injunction	an order of official warning
innate	inborn, native, inherent
innovative	introducing new ideas or methods
insidious	appealing but imperceptibly harmful, seductive
insinuate	to suggest indirectly or subtly
insipid	dull, boring
insolent	rude, arrogant, overbearing
inspect	to examine closely
inspire	to fill with motivation or imagination
instigate	to urge, goad
insurgent	one who rebels
integrate	to combine into a whole
intense	extremely strong or serious
interact	to act on or communicate with one another
interminable	without possibility of end
interpret	to explain the meaning of
intervene	to become involved in order to affect an outcome
intricate	having many small, detailed parts
investigate	to examine carefully in search of facts
iridescent	showing shifting rainbow colors
irrevocable	incapable of being taken back
jocular	fond of joking; playful
jubilant	extremely joyful, happy
judgment	an opinion formed after careful thought
judicious	having or exercising sound judgment
justify	to show that something is reasonable or right
juxtaposition	the act of placing two things side by side for comparison
kismet	fate or destiny
knell	the solemn sound of a bell, often indicating a death
knowledge	information and understanding gained through learning
kudos	praise for an achievement
laceration	a cut, tear
laconic	terse in speech or writing
languid	sluggish from fatigue or weakness
larceny	obtaining another's property by theft or trickery
largess	the generous giving of lavish gifts
latent	hidden, but capable of being exposed
laudatory	expressing admiration or praise
lavish	given without limits
legerdemain	deception, slight-of-hand
lenient	demonstrating tolerance or gentleness
lethargic	in a state of sluggishness or apathy
libertarian	favoring liberty and limited government
licentious	displaying a lack of moral or legal restraints
limpid	clear, transparent
linchpin	something that holds separate parts together
literature	written works considered to have artistic value
lithe	bending easily; graceful
litigant	someone engaged in a lawsuit
logical	based on clear reasoning
lucid	clear, easily understandable
luminous	brightly shining
lurid	ghastly, sensational
maelstrom	a destructive whirlpool which rapidly sucks in objects
magnanimous	noble, generous
maintain	to keep in good condition or continue
malevolent	wanting harm to befall others
manifold	diverse, varied
mature	fully developed in mind or body
maudlin	weakly sentimental
maverick	an independent, nonconformist person
mawkish	characterized by sick sentimentality
maximize	to make as large or effective as possible
meager	deficient in size or quality
medley	a mixture of differing things
mendacious	having a lying, false character
meritorious	worthy of esteem or reward
metamorphosis	the change of form, shape, substance
meticulous	extremely careful with details
mitigate	to make less violent, alleviate
modicum	a small amount of something
modify	to change partly without replacing entirely
modulate	to adjust or regulate
mollify	to soften in temper
monitor	to watch and check over time
morass	a wet swampy bog; figuratively, something that traps and confuses
mores	the customs and moral values of a group
morose	gloomy or sullen
multifarious	having great diversity or variety
mundane	concerned with the world rather than with heaven, commonplace
munificence	generosity in giving
mutable	able to change
mutual	shared by two or more sides
myriad	consisting of a very great number
mystery	something difficult to explain or understand
nadir	the lowest point of something
nascent	in the process of being born or coming into existence
navigate	to plan and direct a route or way through something
nebulous	vaguely defined, cloudy
nefarious	heinously villainous
negligent	habitually careless, neglectful
negotiate	to discuss in order to reach an agreement
neophyte	someone who is young or inexperienced
neutral	not taking a side
nocturnal	relating to or occurring during the night
noisome	unpleasant, offensive, especially to the sense of smell
nomadic	wandering from place to place
nominal	existing in name only; very small
nonchalant	calmly unconcerned
nondescript	lacking a distinctive character
novice	a beginner, someone without training or experience
noxious	harmful, unwholesome
nuance	a slight variation in meaning, tone, expression
numerous	existing in large numbers
nurture	to care for and encourage growth
obdurate	unyielding to persuasion or moral influences
obfuscate	to render incomprehensible
objective	based on facts rather than feelings
oblique	diverging from a straight line or course, not straightforward
oblivious	lacking consciousness or awareness of something
obsequious	excessively compliant or submissive
obstinate	not yielding easily, stubborn
obstreperous	noisy, unruly
obtain	to gain or get
obtuse	lacking quickness of sensibility or intellect
occupy	to take up space or time
odious	instilling hatred or intense displeasure
officious	offering one's services when they are neither wanted nor needed
ominous	foreboding or foreshadowing evil
omit	to leave out
onerous	burdensome
operate	to control or make use of
opulent	characterized by rich abundance verging on ostentation
oration	a speech delivered in a formal or ceremonious manner
ornate	highly elaborate, excessively decorated
oscillate	to swing back and forth
ostensible	appearing as such, seemingly
ostentatious	excessively showy, glitzy
ostracism	exclusion from a group
overall	including everything
panacea	a remedy for all ills or difficulties
pariah	an outcast
participate	to take part
pathology	the study of disease or an abnormal condition
paucity	small in quantity
pejorative	derogatory, uncomplimentary
perceive	to become aware of through senses or thought
permanent	lasting for a long time or forever
permeate	to spread throughout, saturate
persist	to continue firmly despite difficulty
perspective	a particular way of viewing something
persuade	to cause someone to do or believe something through reasoning
pervasive	having the tendency to spread throughout
phenomenon	an observable fact or event
philanthropic	charitable, giving
pillage	to seize or plunder, especially in war
pinnacle	the highest point
pithy	concisely meaningful
pittance	a very small amount, especially relating to money
placate	to ease the anger of, soothe
plethora	an abundance, excess
pliable	flexible
poignant	deeply affecting, moving
polemic	an aggressive argument against a specific opinion
portray	to represent in words, art, or acting
potential	possible but not yet actual
pragmatic	practical
precipice	the face of a cliff, a steep or overhanging place
precise	exact and accurate
predict	to say what will happen before it occurs
preponderance	superiority in importance or quantity
prescient	to have foreknowledge of events
prescribe	to lay down a rule
primeval	original, ancient
priority	something more important than other things
proceed	to continue forward
process	a series of actions that produce a result
procure	to obtain, acquire
professional	showing skill and careful standards
prominent	important and well known
propensity	an inclination, preference
proportion	a part compared with the whole
propriety	proper behavior or good manners
prowess	extraordinary ability
punitive	involving punishment
pursue	to continue trying to achieve something
putrid	rotten, foul
quagmire	a difficult situation
quaint	charmingly old-fashioned
qualify	to meet required conditions
quandary	a perplexed, unresolvable state
quantify	to measure or express as an amount
quell	to control or diffuse a potentially explosive situation
querulous	whiny, complaining
quixotic	exceedingly idealistic and unrealistic
quotidian	daily
radical	very different from the usual or traditional
rancid	having a terrible taste or smell
rancor	deep, bitter resentment
rapport	mutual understanding and harmony
raze	to demolish, level
react	to respond to something
recalcitrant	defiant, unapologetic
reciprocate	to give in return
reclusive	solitary, shunning society
recognize	to know again or acknowledge
recommend	to suggest as a good choice
reconcile	to return to harmony
refine	to improve by making small changes
refurbish	to restore, clean up
refute	to prove wrong
reinforce	to strengthen with extra support
relegate	to assign to the proper place
relevant	closely connected to the matter at hand
relish	to enjoy
reluctant	unwilling or hesitant
remarkable	worthy of attention because it is unusual or impressive
remiss	negligent, failing to take care
renunciation	to reject
repentant	penitent, sorry
repose	to rest, lie down
repudiate	to reject, refuse to accept
repulse	to disgust
reputable	of good reputation
require	to need or demand
requisition	a demand for goods, usually made by an authority
resilient	able to recover from misfortune; able to withstand adversity
resolute	firm, determined
resolve	to settle or solve firmly
resourceful	good at solving problems with what is available
respite	a break, rest
resplendent	shiny, glowing
restitution	restoration to the rightful owner
restive	resistant, stubborn, impatient
restore	to bring back to an earlier or better condition
restrict	to limit or control
retain	to keep or continue to have
reveal	to make known
revoke	to take back
rife	abundant
rigid	stiff or unwilling to change
ruse	a trick
saccharine	sickeningly sweet
sacrosanct	holy, something that should not be criticized
salutation	a greeting
sanctimonious	giving a hypocritical appearance of piety
sanguine	optimistic, cheery
schedule	a plan showing times or order of activities
scintillating	sparkling
scrupulous	painstaking, careful
sedentary	sitting, settled
semaphore	a visual signal
seminal	original, important, creating a field
sensitive	easily affected or aware of slight changes
sensual	involving sensory gratification, usually related to sex
sensuous	involving sensory gratification
sequence	a particular order in which things follow
serendipity	luck, finding good things without looking for them
serene	calm, untroubled
servile	subservient
significant	important enough to deserve attention
sincere	honest and genuine
sinuous	lithe, serpentine
sobriety	sedate, calm
soluble	able to dissolve
solvent	a substance that can dissolve other substances
specify	to state exactly
speculative	not based in fact
stagnate	to become or remain inactive, not develop, not flow
staid	sedate, serious, self-restrained
stoic	unaffected by passion or feeling
strategy	a careful plan for reaching a goal
strident	harsh, loud
structure	the way parts are arranged to form a whole
subjugate	to bring under control, subdue
sublime	lofty, grand, exalted
submissive	easily yielding to authority
sufficient	enough for a need
summarize	to give the main points briefly
surmise	to infer with little evidence
surrogate	one acting in place of another
sustain	to keep something going over time
symbolic	representing something else by meaning
tacit	expressed without words
taciturn	not inclined to talk
tangential	incidental, peripheral, divergent
tantamount	equivalent in value or significance
tedious	dull, boring
temerity	audacity, recklessness
temperance	moderation in action or thought
tenable	able to be defended or maintained
tenuous	having little substance or strength
terminate	to bring to an end
terrestrial	relating to the land
theory	an explanation supported by evidence
thesis	a main idea supported by reasons or evidence
tirade	a long speech marked by harsh or biting language
toady	one who flatters in the hope of gaining favors
tolerate	to allow or endure something disliked
tome	a large book
torrid	giving off intense heat, passionate
tortuous	winding
tractable	easily controlled
tranquil	calm
transfer	to move from one person, place, or situation to another
transgress	to violate, go over a limit
transient	passing through briefly; passing into and out of existence
translate	to change words into another language
transmit	to send from one place or person to another
transmute	to change or alter in form
transparent	easy to see through or easy to understand
travesty	a grossly inferior imitation
tremulous	fearful
trenchant	effective, articulate, clear-cut
trepidation	fear, apprehension
trite	not original, overused
truculent	ready to fight, cruel
truncate	to shorten by cutting off
turgid	swollen, excessively embellished in style or language
turpitude	depravity, moral corruption
ubiquitous	existing everywhere, widespread
ultimate	final or most important
umbrage	resentment, offense
uncanny	of supernatural character or origin
unctuous	smooth or greasy in texture, appearance, manner
undergo	to experience something difficult or changing
underline	to emphasize or draw a line under
undulate	to move in waves
unique	one of a kind
universal	true or shared everywhere
usurp	to seize by force, take possession of without right
utilitarian	relating to or aiming at usefulness
utilize	to make practical use of
utopia	an imaginary and remote place of perfection
vacillate	to fluctuate, hesitate
vacuous	lack of content or ideas, stupid
valid	supported by logic or evidence
valuable	worth a great deal or very useful
vapid	lacking liveliness, dull
variegated	diversified, distinctly marked
vehemently	marked by intense force or emotion
veneer	a superficial or deceptively attractive appearance, façade
venerable	deserving of respect because of age or achievement
veracity	truthfulness, accuracy
verbose	wordy, impaired by wordiness
verdant	green in tint or color
verify	to prove that something is true or accurate
version	a particular form of something
vestige	a mark or trace of something lost or vanished
vex	to confuse or annoy
vicarious	experiencing through another
vigilant	watchful, alert
vilify	to lower in importance, defame
vindicate	to avenge; to free from allegation; to set free
vindictive	vengeful
virtuoso	one who excels in an art; a highly skilled musical performer
viscous	not free flowing, syrupy
vitriolic	having a caustic quality
vivacious	lively, sprightly
vivid	producing strong clear images in the mind
vocation	the work in which someone is employed, profession
vociferous	loud, boisterous
vulnerable	open to harm or attack
wallow	to roll oneself indolently; to become or remain helpless
wane	to decrease in size, dwindle
wanton	undisciplined, lewd, lustful
whimsical	fanciful, full of whims
widespread	existing or happening over a large area
wily	crafty, sly
winsome	charming, pleasing
wistful	full of yearning; musingly sad
wizened	dry, shrunken, wrinkled
xenon	a colorless gaseous element used in some lamps
xenophobia	fear or hatred of strangers or foreigners
xylem	plant tissue that carries water from the roots upward
yearn	to long deeply for something
yen	a strong desire or craving
yoke	to join together or bind
zealous	showing great energy and enthusiasm
zenith	the highest point
zephyr	a soft gentle breeze
