anathema | noun | something or someone greatly hated | something or someone greatly hated
didactic | adjective | intended to instruct | intended to instruct
emaciated | adjective | very thin, enfeebled looking | very thin, enfeebled looking
flaccid | adjective | limp, not firm or strong | limp, not firm or strong
instigate | verb | to urge, goad | to urge, goad
litigant | noun | someone engaged in a lawsuit | someone engaged in a lawsuit
magnanimous | adjective | noble, generous | noble, generous
obsequious | adjective | excessively compliant or submissive | excessively compliant or submissive
pariah | noun | an outcast | an outcast
repose | verb | to rest, lie down | to rest, lie down
surmise | verb | to infer with little evidence | to infer with little evidence
torrid | adjective | giving off intense heat, passionate | giving off intense heat, passionate
vitriolic | adjective | having a caustic quality | having a caustic quality
amenity | noun | an item that increases comfort | an item that increases comfort
bombastic | adjective | excessively confident, pompous | excessively confident, pompous
conciliatory | adjective | friendly, agreeable | friendly, agreeable
deleterious | adjective | harmful | harmful
elegy | noun | a speech given in honor of a dead person | a speech given in honor of a dead person
fallacious | adjective | incorrect, misleading | incorrect, misleading
irrevocable | adjective | incapable of being taken back | incapable of being taken back
laudatory | adjective | expressing admiration or praise | expressing admiration or praise
morose | adjective | gloomy or sullen | gloomy or sullen
officious | adjective | offering one's services when they are neither wanted nor needed | offering one's services when they are neither wanted nor needed
pillage | verb | to seize or plunder, especially in war | to seize or plunder, especially in war
requisition | noun | a demand for goods, usually made by an authority | a demand for goods, usually made by an authority
strident | adjective | harsh, loud | harsh, loud
temerity | noun | audacity, recklessness | audacity, recklessness
vacuous | adjective | lack of content or ideas, stupid | lack of content or ideas, stupid
ascribe | verb | to regard as caused by | to regard as caused by
bashful | adjective | shy, excessively timid | shy, excessively timid
concomitant | adjective | accompanying in a subordinate fashion | accompanying in a subordinate fashion
debunk | verb | to expose as false | to expose as false
elucidate | verb | to clarify, explain | to clarify, explain
fastidious | adjective | meticulous, demanding, having high and often unattainable standards | meticulous, demanding, having high and often unattainable standards
insolent | adjective | rude, arrogant, overbearing | rude, arrogant, overbearing
licentious | adjective | displaying a lack of moral or legal restraints | displaying a lack of moral or legal restraints
mutable | adjective | able to change | able to change
obdurate | adjective | unyielding to persuasion or moral influences | unyielding to persuasion or moral influences
precipice | noun | the face of a cliff, a steep or overhanging place | the face of a cliff, a steep or overhanging place
resplendent | adjective | shiny, glowing | shiny, glowing
scintillating | adjective | sparkling | sparkling
tenable | adjective | able to be defended or maintained | able to be defended or maintained
vestige | noun | a mark or trace of something lost or vanished | a mark or trace of something lost or vanished
abduct | verb | to kidnap, take by force | to kidnap, take by force
bequeath | verb | to pass on, give | to pass on, give
cogent | adjective | intellectually convincing | intellectually convincing
despot | noun | one who has total power and rules brutally | one who has total power and rules brutally
espouse | verb | to take up as a cause, support | to take up as a cause, support
forestall | verb | to prevent, thwart, delay | to prevent, thwart, delay
iniquity | noun | wickedness or sin | wickedness or sin
limpid | adjective | clear, transparent | clear, transparent
maudlin | adjective | weakly sentimental | weakly sentimental
obstreperous | adjective | noisy, unruly | noisy, unruly
pejorative | adjective | derogatory, uncomplimentary | derogatory, uncomplimentary
renunciation | verb | to reject | to reject
staid | adjective | sedate, serious, self-restrained | sedate, serious, self-restrained
taciturn | adjective | not inclined to talk | not inclined to talk
vindicate | verb | to avenge; to free from allegation; to set free | to avenge; to free from allegation; to set free
antipathy | noun | a strong dislike, repugnance | a strong dislike, repugnance
berate | verb | to scold vehemently | to scold vehemently
confound | verb | to frustrate, confuse | to frustrate, confuse
despondent | adjective | feeling depressed, discouraged, hopeless | feeling depressed, discouraged, hopeless
excavate | verb | to dig out of the ground and remove | to dig out of the ground and remove
facile | adjective | easy, requiring little effort | easy, requiring little effort
inane | adjective | silly and meaningless | silly and meaningless
largess | noun | the generous giving of lavish gifts | the generous giving of lavish gifts
morass | noun | a wet swampy bog; figuratively, something that traps and confuses | a wet swampy bog; figuratively, something that traps and confuses
primeval | adjective | original, ancient | original, ancient
remiss | adjective | negligent, failing to take care | negligent, failing to take care
sanctimonious | adjective | giving a hypocritical appearance of piety | giving a hypocritical appearance of piety
trenchant | adjective | effective, articulate, clear-cut | effective, articulate, clear-cut
vapid | adjective | lacking liveliness, dull | lacking liveliness, dull
allay | verb | to soothe, ease | to soothe, ease
brusque | adjective | short, abrupt, dismissive | short, abrupt, dismissive
clairvoyant | adjective | able to perceive things that normal people cannot | able to perceive things that normal people cannot
defile | verb | to make unclean, impure | to make unclean, impure
engender | verb | to bring about, create, generate | to bring about, create, generate
furtive | adjective | secretive, sly | secretive, sly
indigent | adjective | very poor, impoverished | very poor, impoverished
legerdemain | noun | deception, slight-of-hand | deception, slight-of-hand
multifarious | adjective | having great diversity or variety | having great diversity or variety
putrid | adjective | rotten, foul | rotten, foul
refurbish | verb | to restore, clean up | to restore, clean up
scrupulous | adjective | painstaking, careful | painstaking, careful
turgid | adjective | swollen, excessively embellished in style or language | swollen, excessively embellished in style or language
vociferous | adjective | loud, boisterous | loud, boisterous
anachronistic | adjective | being out of correct chronological order | being out of correct chronological order
bilk | verb | cheat, defraud | cheat, defraud
coalesce | verb | to fuse into a whole | to fuse into a whole
decry | verb | to criticize openly | to criticize openly
exonerate | verb | to free from guilt or blame, exculpate | to free from guilt or blame, exculpate
forbearance | noun | patience, restraint, toleration | patience, restraint, toleration
imperious | adjective | commanding, domineering | commanding, domineering
mendacious | adjective | having a lying, false character | having a lying, false character
preponderance | adjective | superiority in importance or quantity | superiority in importance or quantity
repulse | verb | to disgust | to disgust
semaphore | noun | a visual signal | a visual signal
transgress | verb | to violate, go over a limit | to violate, go over a limit
vilify | verb | to lower in importance, defame | to lower in importance, defame
abate | verb | to reduce, lessen | to reduce, lessen
beguile | verb | to trick, deceive | to trick, deceive
clamor | noun | loud noise | loud noise
disavow | verb | to deny responsibility for | to deny responsibility for
exalt | verb | to glorify, praise | to glorify, praise
florid | adjective | flowery, ornate | flowery, ornate
insipid | adjective | dull, boring | dull, boring
mollify | verb | to soften in temper | to soften in temper
prescient | verb | to have foreknowledge of events | to have foreknowledge of events
recalcitrant | adjective | defiant, unapologetic | defiant, unapologetic
sinuous | adjective | lithe, serpentine | lithe, serpentine
truncate | verb | to shorten by cutting off | to shorten by cutting off
verbose | adjective | wordy, impaired by wordiness | wordy, impaired by wordiness
analgesic | noun | something that reduces pain | something that reduces pain
burnish | verb | to polish, shine | to polish, shine
cacophony | noun | tremendous noise, disharmonious sound | tremendous noise, disharmonious sound
discordant | adjective | not agreeing, not in harmony with | not agreeing, not in harmony with
extricate | verb | to disentangle | to disentangle
fractious | adjective | troublesome or irritable | troublesome or irritable
impregnable | adjective | resistant to capture or penetration | resistant to capture or penetration
mawkish | adjective | characterized by sick sentimentality | characterized by sick sentimentality
pliable | adjective | flexible | flexible
raze | verb | to demolish, level | to demolish, level
stagnate | verb | to become or remain inactive, not develop, not flow | to become or remain inactive, not develop, not flow
tractable | adjective | easily controlled | easily controlled
vacillate | verb | to fluctuate, hesitate | to fluctuate, hesitate
affable | adjective | friendly, amiable | friendly, amiable
circumscribed | adjective | marked off, bounded | marked off, bounded
denigrate | verb | to unfairly criticize | to unfairly criticize
eschew | verb | to shun, avoid | to shun, avoid
fetid | adjective | having a foul odor | having a foul odor
implacable | adjective | incapable of being appeased or mitigated | incapable of being appeased or mitigated
munificence | noun | generosity in giving | generosity in giving
polemic | noun | an aggressive argument against a specific opinion | an aggressive argument against a specific opinion
rancor | noun | deep, bitter resentment | deep, bitter resentment
saccharine | adjective | sickeningly sweet | sickeningly sweet
transmute | verb | to change or alter in form | to change or alter in form
abdicate | verb | to give up a position, usually one of leadership | to give up a position, usually one of leadership
congenial | adjective | pleasantly agreeable | pleasantly agreeable
demean | verb | to lower the status or stature of something | to lower the status or stature of something
embellish | verb | to decorate, adorn | to decorate, adorn
flout | verb | to disregard or disobey openly | to disregard or disobey openly
impetuous | adjective | rash; hastily done | rash; hastily done
permeate | verb | to spread throughout, saturate | to spread throughout, saturate
repentant | adjective | penitent, sorry | penitent, sorry
subjugate | verb | to bring under control, subdue | to bring under control, subdue
toady | noun | one who flatters in the hope of gaining favors | one who flatters in the hope of gaining favors
apocryphal | adjective | fictitious, false, wrong | fictitious, false, wrong
conflagration | noun | great fire | great fire
disparage | verb | to speak of as less valuable | to speak of as less valuable
efficacious | adjective | effective | effective
fatuous | adjective | silly, foolish | silly, foolish
insinuate | verb | to suggest indirectly or subtly | to suggest indirectly or subtly
pithy | adjective | concisely meaningful | concisely meaningful
relegate | verb | to assign to the proper place | to assign to the proper place
servile | adjective | subservient | subservient
turpitude | noun | depravity, moral corruption | depravity, moral corruption
abhor | verb | to hate, detest | to hate, detest
conformist | noun | one who behaves the same as others | one who behaves the same as others
demure | adjective | quiet, modest, reserved | quiet, modest, reserved
effervescent | adjective | bubbly, lively | bubbly, lively
fetter | verb | to chain, restrain | to chain, restrain
interminable | adjective | without possibility of end | without possibility of end
paucity | adjective | small in quantity | small in quantity
repudiate | verb | to reject, refuse to accept | to reject, refuse to accept
salutation | noun | a greeting | a greeting
tremulous | adjective | fearful | fearful
assuage | verb | to ease, pacify | to ease, pacify
chastise | verb | to criticize severely | to criticize severely
delineate | verb | to describe, outline, shed light on | to describe, outline, shed light on
emote | verb | to express emotion | to express emotion
fecund | adjective | fruitful, fertile | fruitful, fertile
inexorable | adjective | incapable of being persuaded or placated | incapable of being persuaded or placated
pittance | noun | a very small amount, especially relating to money | a very small amount, especially relating to money
restive | adjective | resistant, stubborn, impatient | resistant, stubborn, impatient
sacrosanct | adjective | holy, something that should not be criticized | holy, something that should not be criticized
truculent | adjective | ready to fight, cruel | ready to fight, cruel
adulation | noun | extreme praise | extreme praise
catalyze | verb | to charge, inspire | to charge, inspire
dour | adjective | stern, joyless | stern, joyless
ennui | noun | boredom, weariness | boredom, weariness
felicitous | adjective | well suited, apt | well suited, apt
impertinent | adjective | rude, insolent | rude, insolent
