abstain | verb | to choose not to do something | to choose not to do something
maximize | verb | to make as large or effective as possible | to make as large or effective as possible
neutral | adjective | not taking a side | not taking a side
occupy | verb | to take up space or time | to take up space or time
permanent | adjective | lasting for a long time or forever | lasting for a long time or forever
recognize | verb | to know again or acknowledge | to know again or acknowledge
sequence | noun | a particular order in which things follow | a particular order in which things follow
thesis | noun | a main idea supported by reasons or evidence | a main idea supported by reasons or evidence
underline | verb | to emphasize or draw a line under | to emphasize or draw a line under
verify | verb | to prove that something is true or accurate | to prove that something is true or accurate
adapt | verb | to adjust to new conditions | to adjust to new conditions
boycott | verb | to refuse to buy or support something as a protest | to refuse to buy or support something as a protest
collective | adjective | done or shared by people acting as a group | done or shared by people acting as a group
demonstrate | verb | to show clearly by evidence or example | to show clearly by evidence or example
emphasize | verb | to give special importance to | to give special importance to
formulate | verb | to create carefully and systematically | to create carefully and systematically
guarantee | verb | to promise that something will happen or be true | to promise that something will happen or be true
hesitate | verb | to pause because of uncertainty | to pause because of uncertainty
imply | verb | to suggest without saying directly | to suggest without saying directly
modify | verb | to change partly without replacing entirely | to change partly without replacing entirely
numerous | adjective | existing in large numbers | existing in large numbers
omit | verb | to leave out | to leave out
persist | verb | to continue firmly despite difficulty | to continue firmly despite difficulty
recommend | verb | to suggest as a good choice | to suggest as a good choice
significant | adjective | important enough to deserve attention | important enough to deserve attention
tolerate | verb | to allow or endure something disliked | to allow or endure something disliked
unique | adjective | one of a kind | one of a kind
version | noun | a particular form of something | a particular form of something
adequate | adjective | enough for a specific need | enough for a specific need
brilliance | noun | exceptional intelligence or great skill | exceptional intelligence or great skill
communicate | verb | to share information, thoughts, or feelings | to share information, thoughts, or feelings
derive | verb | to get something from a source | to get something from a source
enable | verb | to make possible | to make possible
frequent | adjective | happening often | happening often
humane | adjective | showing kindness and compassion | showing kindness and compassion
impose | verb | to force something to be accepted | to force something to be accepted
monitor | verb | to watch and check over time | to watch and check over time
nurture | verb | to care for and encourage growth | to care for and encourage growth
operate | verb | to control or make use of | to control or make use of
perspective | noun | a particular way of viewing something | a particular way of viewing something
refine | verb | to improve by making small changes | to improve by making small changes
sincere | adjective | honest and genuine | honest and genuine
transfer | verb | to move from one person, place, or situation to another | to move from one person, place, or situation to another
universal | adjective | true or shared everywhere | true or shared everywhere
vivid | adjective | producing strong clear images in the mind | producing strong clear images in the mind
advocate | verb | to speak or argue in favor of | to speak or argue in favor of
comparison | noun | the act of examining how things are alike or different | the act of examining how things are alike or different
devise | verb | to invent or plan carefully | to invent or plan carefully
encounter | verb | to meet unexpectedly or experience | to meet unexpectedly or experience
function | verb | to work or operate properly | to work or operate properly
hypothesis | noun | a possible explanation that can be tested | a possible explanation that can be tested
impressive | adjective | causing admiration | causing admiration
mutual | adjective | shared by two or more sides | shared by two or more sides
overall | adjective | including everything | including everything
persuade | verb | to cause someone to do or believe something through reasoning | to cause someone to do or believe something through reasoning
reinforce | verb | to strengthen with extra support | to strengthen with extra support
specify | verb | to state exactly | to state exactly
translate | verb | to change words into another language | to change words into another language
utilize | verb | to make practical use of | to make practical use of
vulnerable | adjective | open to harm or attack | open to harm or attack
amend | verb | to change something in order to improve it | to change something in order to improve it
compatible | adjective | able to exist or work well together | able to exist or work well together
dignity | noun | calm self-respect and honor | calm self-respect and honor
endure | verb | to suffer through or last through hardship | to suffer through or last through hardship
fundamental | adjective | forming the basic foundation | forming the basic foundation
incentive | noun | something that encourages action | something that encourages action
mystery | noun | something difficult to explain or understand | something difficult to explain or understand
phenomenon | noun | an observable fact or event | an observable fact or event
relevant | adjective | closely connected to the matter at hand | closely connected to the matter at hand
strategy | noun | a careful plan for reaching a goal | a careful plan for reaching a goal
transmit | verb | to send from one place or person to another | to send from one place or person to another
anticipate | verb | to expect or prepare for something ahead of time | to expect or prepare for something ahead of time
compensate | verb | to make up for loss, harm, or lack | to make up for loss, harm, or lack
distinguish | verb | to notice or show the difference between things | to notice or show the difference between things
enhance | verb | to improve the quality or value of | to improve the quality or value of
indicate | verb | to point out or show | to point out or show
portray | verb | to represent in words, art, or acting | to represent in words, art, or acting
reluctant | adjective | unwilling or hesitant | unwilling or hesitant
structure | noun | the way parts are arranged to form a whole | the way parts are arranged to form a whole
transparent | adjective | easy to see through or easy to understand | easy to see through or easy to understand
apologize | verb | to express regret for a mistake or offense | to express regret for a mistake or offense
compete | verb | to try to do better than others | to try to do better than others
diverse | adjective | including many different types | including many different types
ensure | verb | to make certain | to make certain
inevitable | adjective | certain to happen | certain to happen
potential | adjective | possible but not yet actual | possible but not yet actual
remarkable | adjective | worthy of attention because it is unusual or impressive | worthy of attention because it is unusual or impressive
sufficient | adjective | enough for a need | enough for a need
appreciate | verb | to recognize the value of something | to recognize the value of something
complicate | verb | to make something more difficult | to make something more difficult
establish | verb | to set up or prove firmly | to set up or prove firmly
infer | verb | to reach a conclusion based on evidence | to reach a conclusion based on evidence
precise | adjective | exact and accurate | exact and accurate
require | verb | to need or demand | to need or demand
summarize | verb | to give the main points briefly | to give the main points briefly
arbitrary | adjective | based on chance or personal choice rather than reason | based on chance or personal choice rather than reason
compromise | noun | an agreement in which each side gives up something | an agreement in which each side gives up something
estimate | verb | to form an approximate judgment about | to form an approximate judgment about
inherit | verb | to receive from a previous generation | to receive from a previous generation
predict | verb | to say what will happen before it occurs | to say what will happen before it occurs
resolve | verb | to settle or solve firmly | to settle or solve firmly
sustain | verb | to keep something going over time | to keep something going over time
attitude | noun | a way of thinking or feeling about something | a way of thinking or feeling about something
conceal | verb | to keep something hidden | to keep something hidden
ethical | adjective | involving principles of right and wrong | involving principles of right and wrong
innovative | adjective | introducing new ideas or methods | introducing new ideas or methods
priority | noun | something more important than other things | something more important than other things
resourceful | adjective | good at solving problems with what is available | good at solving problems with what is available
symbolic | adjective | representing something else by meaning | representing something else by meaning
authentic | adjective | real and genuine rather than copied | real and genuine rather than copied
concentrate | verb | to focus attention or effort | to focus attention or effort
evaluate | verb | to judge the quality or value of | to judge the quality or value of
inspect | verb | to examine closely | to examine closely
proceed | verb | to continue forward | to continue forward
restore | verb | to bring back to an earlier or better condition | to bring back to an earlier or better condition
authority | noun | the power or right to give orders or make decisions | the power or right to give orders or make decisions
concept | noun | a general idea | a general idea
evolve | verb | to develop gradually over time | to develop gradually over time
inspire | verb | to fill with motivation or imagination | to fill with motivation or imagination
process | noun | a series of actions that produce a result | a series of actions that produce a result
restrict | verb | to limit or control | to limit or control
automatic | adjective | working by itself with little direct control | working by itself with little direct control
concern | noun | a feeling of worry or an important matter | a feeling of worry or an important matter
explicit | adjective | stated clearly and directly | stated clearly and directly
integrate | verb | to combine into a whole | to combine into a whole
professional | adjective | showing skill and careful standards | showing skill and careful standards
retain | verb | to keep or continue to have | to keep or continue to have
available | adjective | ready for use or able to be obtained | ready for use or able to be obtained
conclude | verb | to decide after thinking or observing | to decide after thinking or observing
intense | adjective | extremely strong or serious | extremely strong or serious
prominent | adjective | important and well known | important and well known
reveal | verb | to make known | to make known
condemn | verb | to strongly criticize as wrong | to strongly criticize as wrong
interact | verb | to act on or communicate with one another | to act on or communicate with one another
proportion | noun | a part compared with the whole | a part compared with the whole
rigid | adjective | stiff or unwilling to change | stiff or unwilling to change
conduct | verb | to organize and direct an activity | to organize and direct an activity
interpret | verb | to explain the meaning of | to explain the meaning of
pursue | verb | to continue trying to achieve something | to continue trying to achieve something
confident | adjective | sure of oneself or a result | sure of oneself or a result
intervene | verb | to become involved in order to affect an outcome | to become involved in order to affect an outcome
confirm | verb | to show that something is true or certain | to show that something is true or certain
intricate | adjective | having many small, detailed parts | having many small, detailed parts
conflict | noun | a serious disagreement or struggle | a serious disagreement or struggle
investigate | verb | to examine carefully in search of facts | to examine carefully in search of facts
conform | verb | to follow accepted rules or patterns | to follow accepted rules or patterns
conscious | adjective | aware of oneself and one's surroundings | aware of oneself and one's surroundings
consequence | noun | a result that follows from an action | a result that follows from an action
conserve | verb | to protect from waste or loss | to protect from waste or loss
consistent | adjective | acting or happening in the same way over time | acting or happening in the same way over time
construct | verb | to build or form by putting parts together | to build or form by putting parts together
consult | verb | to seek advice or information | to seek advice or information
consume | verb | to use up completely | to use up completely
context | noun | the words or situation surrounding something | the words or situation surrounding something
contrast | verb | to show how things differ | to show how things differ
contribute | verb | to give or add something as part of a larger effort | to give or add something as part of a larger effort
convert | verb | to change from one form or purpose to another | to change from one form or purpose to another
convince | verb | to persuade someone to believe or do something | to persuade someone to believe or do something
cooperate | verb | to work together for a shared purpose | to work together for a shared purpose
coordinate | verb | to organize different parts so they work together | to organize different parts so they work together
credible | adjective | able to be believed | able to be believed
crucial | adjective | extremely important | extremely important
curiosity | noun | a strong desire to know or learn | a strong desire to know or learn
