attain | verb | to achieve, arrive at | to achieve, arrive at
luminous | adjective | brightly shining | brightly shining
manifold | adjective | diverse, varied | diverse, varied
nomadic | adjective | wandering from place to place | wandering from place to place
obtuse | adjective | lacking quickness of sensibility or intellect | lacking quickness of sensibility or intellect
pervasive | adjective | having the tendency to spread throughout | having the tendency to spread throughout
revoke | verb | to take back | to take back
surrogate | noun | one acting in place of another | one acting in place of another
temperance | noun | moderation in action or thought | moderation in action or thought
usurp | verb | to seize by force, take possession of without right | to seize by force, take possession of without right
veneer | noun | a superficial or deceptively attractive appearance, façade | a superficial or deceptively attractive appearance, façade
wallow | verb | to roll oneself indolently; to become or remain helpless | to roll oneself indolently; to become or remain helpless
annex | verb | to incorporate territory or space | to incorporate territory or space
bard | noun | a poet, often a singer as well | a poet, often a singer as well
covert | adjective | secretly engaged in | secretly engaged in
daunting | adjective | intimidating, causing one to lose courage | intimidating, causing one to lose courage
excursion | noun | a trip or outing | a trip or outing
fickle | adjective | shifting in character, inconstant | shifting in character, inconstant
gregarious | adjective | drawn to the company of others, sociable | drawn to the company of others, sociable
hallowed | adjective | revered, consecrated | revered, consecrated
inclination | noun | a tendency, propensity | a tendency, propensity
lenient | adjective | demonstrating tolerance or gentleness | demonstrating tolerance or gentleness
medley | noun | a mixture of differing things | a mixture of differing things
nuance | noun | a slight variation in meaning, tone, expression | a slight variation in meaning, tone, expression
onerous | adjective | burdensome | burdensome
prescribe | verb | to lay down a rule | to lay down a rule
restitution | noun | restoration to the rightful owner | restoration to the rightful owner
sensual | adjective | involving sensory gratification, usually related to sex | involving sensory gratification, usually related to sex
tranquil | adjective | calm | calm
vindictive | adjective | vengeful | vengeful
wistful | adjective | full of yearning; musingly sad | full of yearning; musingly sad
anthology | noun | a selected collection of writings, songs, etc. | a selected collection of writings, songs, etc.
benevolent | adjective | marked by goodness or doing good | marked by goodness or doing good
consolation | noun | an act of comforting | an act of comforting
divisive | adjective | causing dissent, discord | causing dissent, discord
epitome | noun | a perfect example, embodiment | a perfect example, embodiment
forage | verb | to graze, rummage for food | to graze, rummage for food
gluttony | noun | overindulgence in food or drink | overindulgence in food or drink
hapless | adjective | unlucky | unlucky
ingenious | adjective | clever, resourceful | clever, resourceful
larceny | noun | obtaining another's property by theft or trickery | obtaining another's property by theft or trickery
meticulous | adjective | extremely careful with details | extremely careful with details
nascent | adjective | in the process of being born or coming into existence | in the process of being born or coming into existence
opulent | adjective | characterized by rich abundance verging on ostentation | characterized by rich abundance verging on ostentation
prowess | noun | extraordinary ability | extraordinary ability
respite | noun | a break, rest | a break, rest
serene | adjective | calm, untroubled | calm, untroubled
tenuous | adjective | having little substance or strength | having little substance or strength
viscous | adjective | not free flowing, syrupy | not free flowing, syrupy
aspire | verb | to long for, aim toward | to long for, aim toward
bane | noun | a burden | a burden
cherish | verb | to feel or show affection toward something | to feel or show affection toward something
disdain | verb | to scorn, hold in low esteem | to scorn, hold in low esteem
extant | adjective | existing, not destroyed or lost | existing, not destroyed or lost
figurative | adjective | symbolic | symbolic
goad | verb | to urge, spur, incite to action | to urge, spur, incite to action
haughty | adjective | disdainfully proud | disdainfully proud
inhibit | verb | to prevent, restrain, stop | to prevent, restrain, stop
lethargic | adjective | in a state of sluggishness or apathy | in a state of sluggishness or apathy
meager | adjective | deficient in size or quality | deficient in size or quality
nefarious | adjective | heinously villainous | heinously villainous
odious | adjective | instilling hatred or intense displeasure | instilling hatred or intense displeasure
poignant | adjective | deeply affecting, moving | deeply affecting, moving
rapport | noun | mutual understanding and harmony | mutual understanding and harmony
seminal | adjective | original, important, creating a field | original, important, creating a field
travesty | noun | a grossly inferior imitation | a grossly inferior imitation
veracity | noun | truthfulness, accuracy | truthfulness, accuracy
anomaly | noun | something that does not fit into the normal order | something that does not fit into the normal order
blight | noun | a plague, disease | a plague, disease
choreography | noun | the arrangement of dances | the arrangement of dances
disperse | verb | to scatter, cause to scatter | to scatter, cause to scatter
entail | verb | to include as a necessary step | to include as a necessary step
frugal | adjective | thrifty, economical | thrifty, economical
garish | adjective | gaudy, in bad taste | gaudy, in bad taste
infusion | noun | an injection of one substance into another; the permeation of one | an injection of one substance into another; the permeation of one
lurid | adjective | ghastly, sensational | ghastly, sensational
metamorphosis | noun | the change of form, shape, substance | the change of form, shape, substance
noxious | adjective | harmful, unwholesome | harmful, unwholesome
obstinate | adjective | not yielding easily, stubborn | not yielding easily, stubborn
plethora | noun | an abundance, excess | an abundance, excess
ruse | noun | a trick | a trick
submissive | adjective | easily yielding to authority | easily yielding to authority
tacit | adjective | expressed without words | expressed without words
virtuoso | noun | one who excels in an art; a highly skilled musical performer | one who excels in an art; a highly skilled musical performer
alias | noun | a false name or identity | a false name or identity
brazen | adjective | excessively bold, brash | excessively bold, brash
concede | verb | to accept as valid | to accept as valid
discrepancy | noun | difference, failure of things to correspond | difference, failure of things to correspond
eloquent | adjective | expressive, articulate, moving | expressive, articulate, moving
fervent | adjective | ardent, passionate | ardent, passionate
impeccable | adjective | exemplary, flawless | exemplary, flawless
laceration | noun | a cut, tear | a cut, tear
meritorious | adjective | worthy of esteem or reward | worthy of esteem or reward
nadir | noun | the lowest point of something | the lowest point of something
ostentatious | adjective | excessively showy, glitzy | excessively showy, glitzy
philanthropic | adjective | charitable, giving | charitable, giving
rife | adjective | abundant | abundant
sobriety | noun | sedate, calm | sedate, calm
tantamount | adjective | equivalent in value or significance | equivalent in value or significance
vex | verb | to confuse or annoy | to confuse or annoy
appalling | adjective | inspiring shock, horror, disgust | inspiring shock, horror, disgust
behemoth | noun | something of tremendous power or size | something of tremendous power or size
concord | noun | harmonious agreement | harmonious agreement
defunct | adjective | no longer used or existing | no longer used or existing
ethereal | adjective | heavenly, exceptionally delicate or refined | heavenly, exceptionally delicate or refined
flagrant | adjective | offensive, egregious | offensive, egregious
insidious | adjective | appealing but imperceptibly harmful, seductive | appealing but imperceptibly harmful, seductive
languid | adjective | sluggish from fatigue or weakness | sluggish from fatigue or weakness
malevolent | adjective | wanting harm to befall others | wanting harm to befall others
nebulous | adjective | vaguely defined, cloudy | vaguely defined, cloudy
oration | noun | a speech delivered in a formal or ceremonious manner | a speech delivered in a formal or ceremonious manner
procure | verb | to obtain, acquire | to obtain, acquire
refute | verb | to prove wrong | to prove wrong
stoic | adjective | unaffected by passion or feeling | unaffected by passion or feeling
tirade | noun | a long speech marked by harsh or biting language | a long speech marked by harsh or biting language
verdant | adjective | green in tint or color | green in tint or color
audible | adjective | able to be heard | able to be heard
banal | adjective | dull, commonplace | dull, commonplace
concise | adjective | brief and direct in expression | brief and direct in expression
diffuse | verb | to scatter, thin out, break up | to scatter, thin out, break up
esoteric | adjective | understood by only a select few | understood by only a select few
forsake | verb | to give up, renounce | to give up, renounce
insurgent | noun | one who rebels | one who rebels
mores | noun | the customs and moral values of a group | the customs and moral values of a group
nonchalant | adjective | calmly unconcerned | calmly unconcerned
ostensible | adjective | appearing as such, seemingly | appearing as such, seemingly
propensity | noun | an inclination, preference | an inclination, preference
resolute | adjective | firm, determined | firm, determined
sedentary | adjective | sitting, settled | sitting, settled
trite | adjective | not original, overused | not original, overused
